cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
WF,876,WLF,,False,Oceania,False,142.0,11750,,officially-assigned,False,Polynesia
AQ,010,ATA,,False,Antarctic,False,14000000.0,1000,,officially-assigned,False,
GU,316,GUM,GUM,False,Oceania,False,549.0,168783,GUM,officially-assigned,False,Micronesia
MK,807,MKD,MKD,True,Europe,True,25713.0,2077132,MKD,officially-assigned,True,Southeast Europe
TG,768,TGO,TOG,True,Africa,False,56785.0,8278737,TOG,officially-assigned,True,Western Africa
MM,104,MMR,MYA,True,Asia,False,676578.0,54409794,MYA,officially-assigned,True,South-Eastern Asia
QA,634,QAT,QAT,True,Asia,False,11586.0,2881060,QAT,officially-assigned,True,Western Asia
FR,250,FRA,FRA,True,Europe,False,551695.0,67391582,FRA,officially-assigned,True,Western Europe
YT,175,MYT,,False,Africa,False,374.0,226915,,officially-assigned,False,Eastern Africa
NF,574,NFK,,False,Oceania,False,36.0,2302,,officially-assigned,False,Australia and New Zealand
SC,690,SYC,SEY,True,Africa,False,452.0,98462,SEY,officially-assigned,True,Eastern Africa
MD,498,MDA,MDA,True,Europe,True,33846.0,2617820,MDA,officially-assigned,True,Eastern Europe
SS,728,SSD,SSD,True,Africa,True,619745.0,11193729,SSD,officially-assigned,True,Middle Africa
BN,096,BRN,BRU,True,Asia,False,5765.0,437483,BRU,officially-assigned,True,South-Eastern Asia
JP,392,JPN,JPN,True,Asia,False,377930.0,125836021,JPN,officially-assigned,True,Eastern Asia
GD,308,GRD,GRN,True,Americas,False,344.0,112519,GRN,officially-assigned,True,Caribbean
ES,724,ESP,ESP,True,Europe,False,505992.0,47351567,ESP,officially-assigned,True,Southern Europe
BQ,535,BES,,False,Americas,False,328.0,25987,,officially-assigned,False,Caribbean
PG,598,PNG,PNG,True,Oceania,False,462840.0,8947027,PNG,officially-assigned,True,Melanesia
UZ,860,UZB,UZB,True,Asia,True,447400.0,34232050,UZB,officially-assigned,True,Central Asia
AR,032,ARG,ARG,True,Americas,False,2780400.0,45376763,ARG,officially-assigned,True,South America
